t,x,y,z
5.500000000000000444e-01,-1.826358210434492896e-02,1.826358210434491508e-02,5.971297656622012173e-01
5.600000000000000533e-01,-1.892462047303725831e-02,1.892462047303723055e-02,5.970807335270797989e-01
5.700000000000000622e-01,-1.960006081112454501e-02,1.960006081112451379e-02,5.970288557841383348e-01
5.799999999999999600e-01,-2.029007536670371717e-02,2.029007536670369982e-02,5.969740035274203604e-01
5.899999999999999689e-01,-2.099484192181313644e-02,2.099484192181310868e-02,5.969160429033953941e-01
5.999999999999999778e-01,-2.171454390945487881e-02,2.171454390945484411e-02,5.968548348955241556e-01
6.099999999999999867e-01,-2.244937041272676223e-02,2.244937041272671713e-02,5.967902351162736041e-01
6.199999999999999956e-01,-2.319951607201162225e-02,2.319951607201157021e-02,5.967220936058814651e-01
6.300000000000000044e-01,-2.396518092582740345e-02,2.396518092582734794e-02,5.966502546364901294e-01
6.400000000000000133e-01,-2.474657020932217316e-02,2.474657020932210377e-02,5.965745565197719813e-01
6.500000000000000222e-01,-2.554389413125562544e-02,2.554389413125556299e-02,5.964948314158866616e-01
6.600000000000000311e-01,-2.635736764697299561e-02,2.635736764697292622e-02,5.964109051414803186e-01
6.700000000000000400e-01,-2.718721024090867480e-02,2.718721024090859847e-02,5.963225969744713195e-01
6.800000000000000488e-01,-2.803364572832457019e-02,2.803364572832449039e-02,5.962297194535365330e-01
6.900000000000000577e-01,-2.889690208233318403e-02,2.889690208233310076e-02,5.961320781704616545e-01
7.000000000000000666e-01,-2.977721128918870558e-02,2.977721128918860496e-02,5.960294715538196897e-01
7.099999999999999645e-01,-3.067480923202125370e-02,3.067480923202114962e-02,5.959216906428055349e-01
7.199999999999999734e-01,-3.158993560114217725e-02,3.158993560114205928e-02,5.958085188503844387e-01
7.299999999999999822e-01,-3.252283382747115509e-02,3.252283382747105100e-02,5.956897317152622939e-01
7.399999999999999911e-01,-3.347375103470170282e-02,3.347375103470159180e-02,5.955650966424560488e-01
7.500000000000000000e-01,-3.444293800518766907e-02,3.444293800518753723e-02,5.954343726325210806e-01
7.600000000000000089e-01,-3.543064915450239161e-02,3.543064915450225977e-02,5.952973099996653472e-01
7.700000000000000178e-01,-3.643714250975373103e-02,3.643714250975362001e-02,5.951536500791423379e-01
7.800000000000000266e-01,-3.746267968719707575e-02,3.746267968719696473e-02,5.950031249243942222e-01
7.900000000000000355e-01,-3.850752586524346099e-02,3.850752586524334997e-02,5.948454569944614523e-01
8.000000000000000444e-01,-3.957194974962347650e-02,3.957194974962337242e-02,5.946803588321923906e-01
8.100000000000000533e-01,-4.065622352820656010e-02,4.065622352820646296e-02,5.945075327337203674e-01
8.200000000000000622e-01,-4.176062281351387850e-02,4.176062281351377442e-02,5.943266704096725750e-01
8.300000000000000711e-01,-4.288542657164728239e-02,4.288542657164717831e-02,5.941374526384688437e-01
8.399999999999999689e-01,-4.403091703687823238e-02,4.403091703687812830e-02,5.939395489119990712e-01
8.499999999999999778e-01,-4.519737961141956362e-02,4.519737961141948035e-02,5.937326170739267717e-01
8.599999999999999867e-01,-4.638510275033141256e-02,4.638510275033131541e-02,5.935163029507557475e-01
8.699999999999999956e-01,-4.759437783168328495e-02,4.759437783168317393e-02,5.932902399757721268e-01
8.800000000000000044e-01,-4.882549901208552146e-02,4.882549901208542431e-02,5.930540488059400372e-01
8.900000000000000133e-01,-5.007876306791975152e-02,5.007876306791965437e-02,5.928073369317804486e-01
9.000000000000000222e-01,-5.135446922239735729e-02,5.135446922239728096e-02,5.925496982802833656e-01
9.100000000000000311e-01,-5.265291895853942139e-02,5.265291895853933118e-02,5.922807128109158770e-01
9.200000000000000400e-01,-5.397441581807811001e-02,5.397441581807802674e-02,5.919999461048046641e-01
9.300000000000000488e-01,-5.531926518612007709e-02,5.531926518611998689e-02,5.917069489472236432e-01
9.400000000000000577e-01,-5.668777406117678219e-02,5.668777406117671280e-02,5.914012569035941302e-01
9.500000000000000666e-01,-5.808025081012443275e-02,5.808025081012433560e-02,5.910823898892506589e-01
9.599999999999999645e-01,-5.949700490750544496e-02,5.949700490750535475e-02,5.907498517333003019e-01
9.699999999999999734e-01,-6.093834665832899289e-02,6.093834665832890962e-02,5.904031297370228026e-01
9.799999999999999822e-01,-6.240458690351165932e-02,6.240458690351156912e-02,5.900416942273278842e-01
9.899999999999999911e-01,-6.389603670716273442e-02,6.389603670716265116e-02,5.896649981058247336e-01
1.000000000000000000e+00,-6.541300702427724212e-02,6.541300702427721436e-02,5.892724763943357758e-01
1.010000000000000009e+00,-6.695580834817953242e-02,6.695580834817950466e-02,5.888635457775233117e-01
1.020000000000000018e+00,-6.852475033636738766e-02,6.852475033636733215e-02,5.884376041436027993e-01
1.030000000000000027e+00,-7.012014141348729690e-02,7.012014141348722751e-02,5.879940301241949330e-01
1.040000000000000036e+00,-7.174228835039017649e-02,7.174228835039009322e-02,5.875321826343874454e-01
1.050000000000000044e+00,-7.339149581800984146e-02,7.339149581800978595e-02,5.870514004142709519e-01
1.060000000000000053e+00,-7.506806591496865966e-02,7.506806591496859027e-02,5.865510015732530169e-01
1.070000000000000062e+00,-7.677229766751346440e-02,7.677229766751345053e-02,5.860302831386969835e-01
1.080000000000000071e+00,-7.850448650077394841e-02,7.850448650077393453e-02,5.854885206104138984e-01
1.090000000000000080e+00,-8.026492368004023437e-02,8.026492368004020661e-02,5.849249675227798928e-01
1.100000000000000089e+00,-8.205389572093747808e-02,8.205389572093742256e-02,5.843388550163326478e-01
1.110000000000000098e+00,-8.387168376732244413e-02,8.387168376732238861e-02,5.837293914208694368e-01
1.120000000000000107e+00,-8.571856293573620889e-02,8.571856293573613950e-02,5.830957618522210062e-01
1.130000000000000115e+00,-8.759480162525211389e-02,8.759480162525208613e-02,5.824371278250684014e-01
1.140000000000000124e+00,-8.950066079164199773e-02,8.950066079164192834e-02,5.817526268842897474e-01
1.150000000000000133e+00,-9.143639318466413590e-02,9.143639318466410815e-02,5.810413722575938911e-01
1.159999999999999920e+00,-9.340224254747980792e-02,9.340224254747975241e-02,5.803024525323027261e-01
1.169999999999999929e+00,-9.539844277701052533e-02,9.539844277701045594e-02,5.795349313594644336e-01
1.179999999999999938e+00,-9.742521704434460583e-02,9.742521704434455032e-02,5.787378471885635811e-01
1.189999999999999947e+00,-9.948277687408971226e-02,9.948277687408967063e-02,5.779102130364599521e-01
1.199999999999999956e+00,-1.015713211817845796e-01,1.015713211817845657e-01,5.770510162943343069e-01
1.209999999999999964e+00,-1.036910352684996955e-01,1.036910352684996817e-01,5.761592185767033802e-01
1.219999999999999973e+00,-1.058420897717855524e-01,1.058420897717855386e-01,5.752337556168337640e-01
1.229999999999999982e+00,-1.080246395723202940e-01,1.080246395723202663e-01,5.742735372131145821e-01
1.239999999999999991e+00,-1.102388226555734152e-01,1.102388226555734013e-01,5.732774472312763825e-01
1.250000000000000000e+00,-1.124847589280389137e-01,1.124847589280388999e-01,5.722443436675792583e-01
1.260000000000000009e+00,-1.147625489876929750e-01,1.147625489876929472e-01,5.711730587783874213e-01
