time,sx_x,sx_y,sx_z,mat_x,mat_y,mat_z,vicon_x,vicon_y,vicon_z
6.099999999999999645e+00,4.410167872429716640e-01,4.727107124739679013e-03,9.741059430881396364e-02,4.410146603593251835e-01,4.726151243987874659e-03,9.741211084430811962e-02,4.474780043972749199e-01,-6.156013763799289551e-03,9.255310726312065972e-02
6.110000000000001208e+00,4.480983498262427478e-01,4.159138150811146281e-03,8.583213847646167793e-02,4.480954413561804017e-01,4.159598361781965958e-03,8.583468945958956653e-02,4.528742407528976166e-01,-6.836466273945171479e-03,8.201908863546097939e-02
6.119999999999999218e+00,4.549638269501053434e-01,3.330844294119846439e-03,7.302477757054580410e-02,4.549607728731430156e-01,3.332329560095547392e-03,7.302829938750821093e-02,4.587191960490176745e-01,-7.517720473782268931e-03,6.916297438053409241e-02
6.129999999999997229e+00,4.613658763388631678e-01,2.281181703092538364e-03,5.914399126047154703e-02,4.613631962574441525e-01,2.282807739955731215e-03,5.914801997110008536e-02,4.644488960040745740e-01,-7.886211777824725377e-03,5.531192720380651018e-02
6.139999999999998792e+00,4.670988855859096178e-01,1.084133879102893491e-03,4.438310861244634808e-02,4.670966344541962467e-01,1.085661118208027269e-03,4.438739211386487360e-02,4.681761498229389806e-01,-8.080726069161076053e-03,4.403630337870412248e-02
6.150000000000000355e+00,4.720184543488451512e-01,-1.813698310212422625e-04,2.894817696949130229e-02,4.720168009228240535e-01,-1.802837510025337561e-04,2.895213926401152965e-02,4.721791918911529828e-01,-8.286848751177661176e-03,3.039104544784804185e-02
6.159999999999998366e+00,4.760380406290885547e-01,-1.449938624249997188e-03,1.303779827609777286e-02,4.760368108126288855e-01,-1.449368240791650215e-03,1.304142089714997732e-02,4.754995725220690916e-01,-8.847288300301611730e-03,1.627057860602326711e-02
6.169999999999999929e+00,4.791161006154379121e-01,-2.674854060116266079e-03,-3.167034484114980737e-03,4.791152090606669578e-01,-2.674902896857506932e-03,-3.163868420801718793e-03,4.781827875972726183e-01,-9.689398903016954723e-03,2.023105187097806734e-04
6.180000000000001492e+00,4.812435897160369791e-01,-3.826315683602024217e-03,-1.950614465787897656e-02,4.812429524656037794e-01,-3.826957354855014919e-03,-1.950340798447240329e-02,4.804318932551358001e-01,-1.063618899491883263e-02,-1.780401462460651230e-02
6.189999999999999503e+00,4.824346033164569336e-01,-4.887728135935904931e-03,-3.584008833664947824e-02,4.824341515120322277e-01,-4.888917713576804852e-03,-3.583775849873999109e-02,4.825121980306078528e-01,-1.196130976239294375e-02,-3.889424794124846096e-02
6.199999999999997513e+00,4.827197830052542549e-01,-5.852102212916673526e-03,-5.204886179501999610e-02,4.827194745698741851e-01,-5.853676784787090713e-03,-5.204677174348738139e-02,4.836051488647760133e-01,-1.298846048342218451e-02,-5.464054268294199490e-02
6.209999999999999076e+00,4.821415909963581159e-01,-6.719129443461142707e-03,-6.803028507891678567e-02,4.821411605156808444e-01,-6.721807704400646968e-03,-6.803043866200020329e-02,4.844125351481415320e-01,-1.389839420791710856e-02,-7.310714326023803888e-02
6.220000000000000639e+00,4.807507850585509002e-01,-7.492952842048628513e-03,-8.369837522281337039e-02,4.807500427502813811e-01,-7.496433909897713861e-03,-8.370070190944729760e-02,4.844857312288100015e-01,-1.470059921136844527e-02,-9.054745957484852670e-02
6.229999999999998650e+00,4.786036924768818368e-01,-8.180518366946708600e-03,-9.898179965376176226e-02,4.786027578867512178e-01,-8.184105372376668242e-03,-9.898482180643698725e-02,4.836300285484751438e-01,-1.541032204145031947e-02,-1.061442331419342466e-01
6.240000000000000213e+00,4.757600523072709198e-01,-8.790378349773527583e-03,-1.138224250722760095e-01,4.757591087383179485e-01,-8.793883252976473705e-03,-1.138251511046704523e-01,4.824188004526510642e-01,-1.592452491115228796e-02,-1.192654197742500644e-01
6.250000000000001776e+00,4.722812891957001158e-01,-9.331838278835590320e-03,-1.281739568884149860e-01,4.722804511891148249e-01,-9.335399700541480161e-03,-1.281760465062859733e-01,4.807545085613494917e-01,-1.631074869036394648e-02,-1.328055996718892073e-01
6.259999999999999787e+00,4.682291318780558154e-01,-9.814360425878887115e-03,-1.420006617834017049e-01,4.682283198345746356e-01,-9.818098519712556774e-03,-1.420025189458626047e-01,4.786997042650588119e-01,-1.688486226029073389e-02,-1.467660886402264997e-01
6.269999999999997797e+00,4.636645160598238946e-01,-1.024715860863692485e-02,-1.552761685579033546e-01,4.636638193345866132e-01,-1.025117025717863298e-02,-1.552775644012204526e-01,4.764204888766375712e-01,-1.740871772979921128e-02,-1.596698438235831241e-01
6.279999999999999361e+00,4.586467262963870861e-01,-1.063893361193400146e-02,-1.679823449538493385e-01,4.586461156819207630e-01,-1.064322965799067294e-02,-1.679834274181798703e-01,4.739071293841010668e-01,-1.780972879487022209e-02,-1.713299264248277221e-01
6.290000000000000924e+00,4.532327402306285946e-01,-1.099771178251937598e-02,-1.801082502558880583e-01,4.532322229675270764e-01,-1.100226678517073758e-02,-1.801090471501513024e-01,4.686682144826146423e-01,-1.900405957718508121e-02,-1.914999411642387961e-01
6.299999999999998934e+00,4.474767444395032490e-01,-1.133075776571944478e-02,-1.916491638373302164e-01,4.474761774751587762e-01,-1.133538119228098308e-02,-1.916500369965258299e-01,4.639284694837098044e-01,-1.970692751123992448e-02,-2.071345902496232183e-01
6.309999999999996945e+00,4.414297950069757670e-01,-1.164454049835925327e-02,-2.026056904383797541e-01,4.414293010761174418e-01,-1.164927588377094592e-02,-2.026063735444824376e-01,4.573275939430423431e-01,-2.051105447585975516e-02,-2.256075116175386419e-01
