Marker,Tau Condition,Error
M4,$\tau_{ext} = 0$,0.03148109440714445
M4,$\tau_{ext} = 0$,0.052336980515586023
M4,$\tau_{ext} = 0$,0.04827157723313876
M4,$\tau_{ext} = 0$,0.012399126976794475
M4,$\tau_{ext} = 0$,0.022465490805886067
M4,$\tau_{ext} = 0$,0.04705839241549843
M4,$\tau_{ext} = 0$,0.014750284039598657
M4,$\tau_{ext} = 0$,0.015309574637542593
M4,$\tau_{ext} = 0$,0.04029714990063296
M4,$\tau_{ext} = 0$,0.015997311676911603
M4,$\tau_{ext} = 0$,0.023977469278099836
M4,$\tau_{ext} = 0$,0.03218988733631993
M4,$\tau_{ext} = 0$,0.02885712747299058
M4,$\tau_{ext} = 0$,0.04194907092520196
M4,$\tau_{ext} = 0$,0.037539056404405496
M4,$\tau_{ext} = 0$,0.011567461222302918
M4,$\tau_{ext} = 0$,0.014342135955801071
M4,$\tau_{ext} = \tau_{ext}^*$,0.0033584164432357544
M4,$\tau_{ext} = \tau_{ext}^*$,0.004774997741128362
M4,$\tau_{ext} = \tau_{ext}^*$,0.007288144173169886
M4,$\tau_{ext} = \tau_{ext}^*$,0.005023142519477376
M4,$\tau_{ext} = \tau_{ext}^*$,0.0037137388659246816
M4,$\tau_{ext} = \tau_{ext}^*$,0.004969892189577644
M4,$\tau_{ext} = \tau_{ext}^*$,0.007066663146433736
M4,$\tau_{ext} = \tau_{ext}^*$,0.006636980577126083
M4,$\tau_{ext} = \tau_{ext}^*$,0.002858629865639369
M4,$\tau_{ext} = \tau_{ext}^*$,0.0049601937871572065
M4,$\tau_{ext} = \tau_{ext}^*$,0.007778473871512283
M4,$\tau_{ext} = \tau_{ext}^*$,0.002596038391317506
M4,$\tau_{ext} = \tau_{ext}^*$,0.003511634894320369
M4,$\tau_{ext} = \tau_{ext}^*$,0.004629740345877182
M4,$\tau_{ext} = \tau_{ext}^*$,0.004140174703284526
M4,$\tau_{ext} = \tau_{ext}^*$,0.007162531708054916
M4,$\tau_{ext} = \tau_{ext}^*$,0.005353360525713315
M4,$\tau_{ext} = \tau_{ext}^*$,0.006565518275580463
M4,$\tau_{ext} = \tau_{ext}^*$,0.007536252730579064
M4,$\tau_{ext} = \tau_{ext}^*$,0.006583428652285273
M4,$\tau_{ext} = \tau_{ext}^*$,0.004077205626321832
M4,$\tau_{ext} = \tau_{ext}^*$,0.0035380576971134254
M4,"$\tau_{ext} = \tau_{ext,NN}$",0.004207137843298048
M4,"$\tau_{ext} = \tau_{ext,NN}$",0.012675218115423673
M4,"$\tau_{ext} = \tau_{ext,NN}$",0.008370084939469072
M4,"$\tau_{ext} = \tau_{ext,NN}$",0.004676805252678474
M4,"$\tau_{ext} = \tau_{ext,NN}$",0.005221837877704993
M4,"$\tau_{ext} = \tau_{ext,NN}$",0.005067692297311238
M4,"$\tau_{ext} = \tau_{ext,NN}$",0.0088272950720962
M4,"$\tau_{ext} = \tau_{ext,NN}$",0.006904491406070802
M4,"$\tau_{ext} = \tau_{ext,NN}$",0.003921156446887037
M4,"$\tau_{ext} = \tau_{ext,NN}$",0.004630751802920857
M4,"$\tau_{ext} = \tau_{ext,NN}$",0.007927704390037751
M4,"$\tau_{ext} = \tau_{ext,NN}$",0.0026354752656689334
M4,"$\tau_{ext} = \tau_{ext,NN}$",0.003380384742534725
M4,"$\tau_{ext} = \tau_{ext,NN}$",0.004715631719605951
M4,"$\tau_{ext} = \tau_{ext,NN}$",0.003765357797342962
M4,"$\tau_{ext} = \tau_{ext,NN}$",0.007382339861056622
M4,"$\tau_{ext} = \tau_{ext,NN}$",0.0074186834664528275
M4,"$\tau_{ext} = \tau_{ext,NN}$",0.007305864516485319
M4,"$\tau_{ext} = \tau_{ext,NN}$",0.009003067705046513
M4,"$\tau_{ext} = \tau_{ext,NN}$",0.006578554656335993
M4,"$\tau_{ext} = \tau_{ext,NN}$",0.004676768622997598
M4,"$\tau_{ext} = \tau_{ext,NN}$",0.004075319749783714
