49,0.204167,0.198941,0.330823,0.176450,0.205446,0.183818,0.177602,0.180199,0.418530,0.177572,0.207496,0.056887,0.180435,0.160383,0.258245,0.173768,,,,,,,,,,,,,,,
50,0.208333,0.198941,0.330821,0.176447,0.205444,0.183818,0.177602,0.180213,0.418529,0.177571,0.207495,0.056886,0.180437,0.160377,0.258251,0.173770,,,,,,,,,,,,,,,
51,0.212500,0.198941,0.330820,0.176443,0.205441,0.183819,0.177603,0.180225,0.418529,0.177571,0.207496,0.056888,0.180434,0.160378,0.258249,0.173763,,,,,,,,,,,,,,,
52,0.216667,0.198942,0.330818,0.176441,0.205439,0.183819,0.177602,0.180237,0.418530,0.177574,0.207495,0.056886,0.180433,0.160378,0.258248,0.173765,,,,,,,,,,,,,,,
53,0.220833,0.198941,0.330817,0.176438,0.205436,0.183818,0.177603,0.180247,0.418530,0.177576,0.207497,0.056884,0.180435,0.160376,0.258253,0.173763,,,,,,,,,,,,,,,
54,0.225000,0.198941,0.330817,0.176436,0.205432,0.183827,0.177603,0.180251,0.418531,0.177576,0.207497,0.056883,0.180437,0.160372,0.258249,0.173765,,,,,,,,,,,,,,,
55,0.229167,0.198939,0.330814,0.176434,0.205432,0.183819,0.177603,0.180253,0.418529,0.177581,0.207498,0.056885,0.180439,0.160374,0.258249,0.173758,,,,,,,,,,,,,,,
56,0.233333,0.198938,0.330812,0.176432,0.205432,0.183819,0.177607,0.180254,0.418529,0.177583,0.207500,0.056886,0.180439,0.160368,0.258250,0.173767,,,,,,,,,,,,,,,
57,0.237500,0.198937,0.330812,0.176430,0.205430,0.183826,0.177602,0.180257,0.418530,0.177582,0.207500,0.056882,0.180441,0.160371,0.258249,0.173771,,,,,,,,,,,,,,,
58,0.241667,0.198936,0.330813,0.176433,0.205430,0.183822,0.177606,0.180257,0.418530,0.177578,0.207500,0.056883,0.180439,0.160369,0.258252,0.173767,,,,,,,,,,,,,,,
59,0.245833,0.198934,0.330811,0.176431,0.205432,0.183828,0.177604,0.180275,0.418542,0.177593,0.207502,0.056880,0.180441,0.160366,0.258251,0.173772,,,,,,,,,,,,,,,
60,0.250000,0.198932,0.330813,0.176432,0.205434,0.183827,0.177604,0.180251,0.418528,0.177583,0.207503,0.056882,0.180443,0.160364,0.258254,0.173774,,,,,,,,,,,,,,,
61,0.254167,0.198929,0.330812,0.176433,0.205437,0.183820,0.177608,0.180239,0.418528,0.177580,0.207507,0.056881,0.180444,0.160367,0.258248,0.173772,,,,,,,,,,,,,,,
62,0.258333,0.198928,0.330812,0.176437,0.205439,0.183820,0.177611,0.180232,0.418526,0.177583,0.207511,0.056880,0.180443,0.160365,0.258242,0.173774,,,,,,,,,,,,,,,
63,0.262500,0.198925,0.330812,0.176440,0.205441,0.183819,0.177609,0.180221,0.418524,0.177581,0.207509,0.056883,0.180442,0.160369,0.258245,0.173774,,,,,,,,,,,,,,,
64,0.266667,0.198922,0.330812,0.176439,0.205443,0.183819,0.177610,0.180210,0.418524,0.177583,0.207511,0.056882,0.180438,0.160370,0.258243,0.173778,,,,,,,,,,,,,,,
65,0.270833,0.198919,0.330813,0.176443,0.205449,0.183819,0.177612,0.180196,0.418525,0.177587,0.207512,0.056879,0.180441,0.160365,0.258241,0.173776,,,,,,,,,,,,,,,
66,0.275000,0.198914,0.330818,0.176448,0.205452,0.183818,0.177613,0.180180,0.418524,0.177586,0.207511,0.056882,0.180438,0.160372,0.258238,0.173779,,,,,,,,,,,,,,,
67,0.279167,0.198910,0.330818,0.176450,0.205455,0.183815,0.177612,0.180161,0.418524,0.177585,0.207509,0.056884,0.180435,0.160376,0.258235,0.173781,,,,,,,,,,,,,,,
68,0.283333,0.198908,0.330818,0.176454,0.205457,0.183815,0.177612,0.180146,0.418523,0.177588,0.207511,0.056882,0.180431,0.160377,0.258235,0.173784,,,,,,,,,,,,,,,
69,0.287500,0.198907,0.330818,0.176460,0.205462,0.183814,0.177613,0.180124,0.418519,0.177586,0.207512,0.056880,0.180426,0.160381,0.258233,0.173785,,,,,,,,,,,,,,,
70,0.291667,0.198903,0.330820,0.176464,0.205467,0.183814,0.177613,0.180104,0.418520,0.177590,0.207514,0.056880,0.180424,0.160380,0.258229,0.173785,,,,,,,,,,,,,,,
71,0.295833,0.198900,0.330822,0.176469,0.205470,0.183810,0.177613,0.180084,0.418518,0.177593,0.207515,0.056881,0.180423,0.160382,0.258228,0.173785,,,,,,,,,,,,,,,
72,0.300000,0.198898,0.330823,0.176472,0.205472,0.183811,0.177613,0.180063,0.418517,0.177595,0.207517,0.056878,0.180415,0.160385,0.258226,0.173791,,,,,,,,,,,,,,,
73,0.304167,0.198893,0.330825,0.176476,0.205484,0.183811,0.177621,0.180041,0.418516,0.177595,0.207514,0.056877,0.180418,0.160386,0.258223,0.173798,,,,,,,,,,,,,,,
74,0.308333,0.198891,0.330829,0.176478,0.205480,0.183809,0.177614,0.180025,0.418519,0.177600,0.207515,0.056877,0.180412,0.160388,0.258224,0.173798,,,,,,,,,,,,,,,
75,0.312500,0.198890,0.330831,0.176485,0.205484,0.183810,0.177611,0.180006,0.418519,0.177602,0.207516,0.056881,0.180412,0.160392,0.258224,0.173799,,,,,,,,,,,,,,,
