t,x,y,z
5.300000000000000266e-01,-3.510720049364374207e-01,-3.510720049364374207e-01,9.799150013493640454e-02
5.310000000000000275e-01,-3.511882400552243100e-01,-3.511882400552240324e-01,1.002508158989370290e-01
5.320000000000000284e-01,-3.512966394332797671e-01,-3.512966394332797115e-01,1.025258355712390934e-01
5.330000000000000293e-01,-3.513970239530230799e-01,-3.513970239530229689e-01,1.048163062872707191e-01
5.340000000000000302e-01,-3.514892171100154616e-01,-3.514892171100153506e-01,1.071219721919985379e-01
5.350000000000000311e-01,-3.515730450897759374e-01,-3.515730450897758264e-01,1.094425745100820746e-01
5.360000000000000320e-01,-3.516483368423091727e-01,-3.516483368423090061e-01,1.117778516182688642e-01
5.370000000000000329e-01,-3.517149241542999460e-01,-3.517149241542997240e-01,1.141275391199326611e-01
5.380000000000000338e-01,-3.517726417189325772e-01,-3.517726417189323551e-01,1.164913699216591353e-01
5.390000000000000346e-01,-3.518213272032957861e-01,-3.518213272032955086e-01,1.188690743117798015e-01
5.400000000000000355e-01,-3.518608213133382900e-01,-3.518608213133380125e-01,1.212603800407459909e-01
5.410000000000000364e-01,-3.518909678563428844e-01,-3.518909678563426624e-01,1.236650124032447479e-01
5.420000000000000373e-01,-3.519116138008933081e-01,-3.519116138008930861e-01,1.260826943219447993e-01
5.430000000000000382e-01,-3.519226093343092443e-01,-3.519226093343090778e-01,1.285131464327674278e-01
5.440000000000000391e-01,-3.519238079175296963e-01,-3.519238079175295297e-01,1.309560871715796104e-01
5.450000000000000400e-01,-3.519150663374297494e-01,-3.519150663374296384e-01,1.334112328621864518e-01
5.460000000000000409e-01,-3.518962447565590068e-01,-3.518962447565589513e-01,1.358782978055307344e-01
5.470000000000000417e-01,-3.518672067602916509e-01,-3.518672067602914844e-01,1.383569943699733407e-01
5.480000000000000426e-01,-3.518278194013860216e-01,-3.518278194013859106e-01,1.408470330825613848e-01
5.490000000000000435e-01,-3.517779532419537114e-01,-3.517779532419535449e-01,1.433481227211566011e-01
5.500000000000000444e-01,-3.517174823928373439e-01,-3.517174823928372329e-01,1.458599704073330061e-01
