t,x,z
1.459999999999999964e+00,-4.846862215905249904e-01,2.127874935698781944e-01
1.461000000000000076e+00,-4.846281768766614872e-01,2.130824873801245856e-01
1.461999999999999966e+00,-4.845678370041607286e-01,2.133886137190761367e-01
1.463000000000000078e+00,-4.845051841201822862e-01,2.137058415958358326e-01
1.463999999999999968e+00,-4.844401997112710578e-01,2.140341391794431114e-01
1.465000000000000080e+00,-4.843728646129770166e-01,2.143734738006168317e-01
1.465999999999999970e+00,-4.843031590197270919e-01,2.147238119535486989e-01
1.467000000000000082e+00,-4.842310624949437425e-01,2.150851192977591142e-01
1.467999999999999972e+00,-4.841565539814189911e-01,2.154573606600109770e-01
1.469000000000000083e+00,-4.840796118119283786e-01,2.158405000362860759e-01
1.469999999999999973e+00,-4.840002137200812848e-01,2.162345005938258180e-01
1.471000000000000085e+00,-4.839183368514100581e-01,2.166393246732392086e-01
1.471999999999999975e+00,-4.838339577746875175e-01,2.170549337906768073e-01
1.473000000000000087e+00,-4.837470524934703864e-01,2.174812886400823708e-01
1.473999999999999977e+00,-4.836575964578619380e-01,2.179183490955099722e-01
1.475000000000000089e+00,-4.835655645764956878e-01,2.183660742135231092e-01
1.475999999999999979e+00,-4.834709312287218674e-01,2.188244222356697244e-01
1.477000000000000091e+00,-4.833736702770100591e-01,2.192933505910346359e-01
1.477999999999999980e+00,-4.832737550795456194e-01,2.197728158988795921e-01
1.479000000000000092e+00,-4.831711585030246114e-01,2.202627739713650667e-01
1.479999999999999982e+00,-4.830658529356410269e-01,2.207631798163569026e-01
1.481000000000000094e+00,-4.829578103002560852e-01,2.212739876403283235e-01
1.481999999999999984e+00,-4.828470020677509411e-01,2.217951508513456294e-01
1.483000000000000096e+00,-4.827333992705520327e-01,2.223266220621543665e-01
1.483999999999999986e+00,-4.826169725163238500e-01,2.228683530933550927e-01
1.485000000000000098e+00,-4.824976920018304027e-01,2.234202949766816992e-01
1.485999999999999988e+00,-4.823755275269480669e-01,2.239823979583738800e-01
1.487000000000000099e+00,-4.822504485088359161e-01,2.245546115026569589e-01
1.487999999999999989e+00,-4.821224239962423885e-01,2.251368842953242744e-01
1.489000000000000101e+00,-4.819914226839682181e-01,2.257291642474208992e-01
1.489999999999999991e+00,-4.818574129274449946e-01,2.263313984990386052e-01
1.491000000000000103e+00,-4.817203627574569991e-01,2.269435334232190460e-01
1.491999999999999993e+00,-4.815802398949743379e-01,2.275655146299714049e-01
1.493000000000000105e+00,-4.814370117661082027e-01,2.281972869703961515e-01
1.493999999999999995e+00,-4.812906455171739317e-01,2.288387945409279811e-01
