t,x,y,z
8.669999999999999929e-01,-1.118689437648194007e-01,-1.118689437648181934e-01,5.778474768001368167e-01
8.679999999999999938e-01,-1.115779141008669539e-01,-1.115779141008657466e-01,5.779628781969755602e-01
8.689999999999999947e-01,-1.112985191445089311e-01,-1.112985191445077654e-01,5.780731157237394280e-01
8.699999999999999956e-01,-1.110307686880872974e-01,-1.110307686880861316e-01,5.781782277322771169e-01
8.709999999999999964e-01,-1.107746721823689856e-01,-1.107746721823678476e-01,5.782782509590036479e-01
8.719999999999999973e-01,-1.105302386413313104e-01,-1.105302386413302279e-01,5.783732205730445219e-01
8.729999999999999982e-01,-1.102974765680701519e-01,-1.102974765680690000e-01,5.784631702105509365e-01
8.739999999999999991e-01,-1.100763938972253164e-01,-1.100763938972241923e-01,5.785481319986766069e-01
8.750000000000000000e-01,-1.098669979503478500e-01,-1.098669979503467259e-01,5.786281365718586311e-01
8.760000000000000009e-01,-1.096692954015096727e-01,-1.096692954015085764e-01,5.787032130823815956e-01
8.770000000000000018e-01,-1.094832922508176404e-01,-1.094832922508165024e-01,5.787733892068174235e-01
8.780000000000000027e-01,-1.093089938042532266e-01,-1.093089938042520193e-01,5.788386911494468601e-01
8.790000000000000036e-01,-1.091464046583553865e-01,-1.091464046583541930e-01,5.788991436435985127e-01
8.800000000000000044e-01,-1.089955286887988178e-01,-1.089955286887976521e-01,5.789547699515259493e-01
8.810000000000000053e-01,-1.088563690419243613e-01,-1.088563690419231539e-01,5.790055918633681964e-01
8.820000000000000062e-01,-1.087289281286177578e-01,-1.087289281286165227e-01,5.790516296955464659e-01
8.830000000000000071e-01,-1.086132076200051061e-01,-1.086132076200038710e-01,5.790929022888851030e-01
8.840000000000000080e-01,-1.085092084445348770e-01,-1.085092084445336558e-01,5.791294270066743577e-01
8.850000000000000089e-01,-1.084169307861385101e-01,-1.084169307861372888e-01,5.791612197328164235e-01
8.860000000000000098e-01,-1.083363740831629618e-01,-1.083363740831617406e-01,5.791882948702008482e-01
8.870000000000000107e-01,-1.082675370279986421e-01,-1.082675370279974070e-01,5.792106653393199744e-01
8.880000000000000115e-01,-1.082104175670360324e-01,-1.082104175670348667e-01,5.792283425772869476e-01
8.890000000000000124e-01,-1.081650129010084255e-01,-1.081650129010072042e-01,5.792413365372052203e-01
8.900000000000000133e-01,-1.081313194855250820e-01,-1.081313194855238885e-01,5.792496556879638270e-01
8.910000000000000142e-01,-1.081093330317110385e-01,-1.081093330317098172e-01,5.792533070144766372e-01
8.920000000000000151e-01,-1.080990485069389662e-01,-1.080990485069377449e-01,5.792522960183554837e-01
8.930000000000000160e-01,-1.081004601355339823e-01,-1.081004601355327471e-01,5.792466267190500284e-01
8.940000000000000169e-01,-1.081135613995024003e-01,-1.081135613995012207e-01,5.792363016554235022e-01
8.950000000000000178e-01,-1.081383450391154438e-01,-1.081383450391142087e-01,5.792213218878167202e-01
8.960000000000000187e-01,-1.081748030534818300e-01,-1.081748030534806088e-01,5.792016870005359808e-01
8.970000000000000195e-01,-1.082229267009582191e-01,-1.082229267009570117e-01,5.791773951048131419e-01
8.980000000000000204e-01,-1.082827064994369287e-01,-1.082827064994357213e-01,5.791484428422142283e-01
8.990000000000000213e-01,-1.083541322265508394e-01,-1.083541322265496459e-01,5.791148253884721431e-01
9.000000000000000222e-01,-1.084371929196219497e-01,-1.084371929196208117e-01,5.790765364578052132e-01
9.010000000000000231e-01,-1.085318768755811486e-01,-1.085318768755799412e-01,5.790335683076190953e-01
9.020000000000000240e-01,-1.086381716506095163e-01,-1.086381716506083367e-01,5.789859117436977343e-01
9.030000000000000249e-01,-1.087560640597292766e-01,-1.087560640597280970e-01,5.789335561257710205e-01
9.040000000000000258e-01,-1.088855401760995684e-01,-1.088855401760984443e-01,5.788764893735695027e-01
9.050000000000000266e-01,-1.090265853302976734e-01,-1.090265853302965354e-01,5.788146979732367026e-01
9.060000000000000275e-01,-1.091791841093012472e-01,-1.091791841093001370e-01,5.787481669842177157e-01
9.070000000000000284e-01,-1.093433203553713373e-01,-1.093433203553701993e-01,5.786768800465402762e-01
9.080000000000000293e-01,-1.095189771647686189e-01,-1.095189771647674393e-01,5.786008193885106010e-01
9.090000000000000302e-01,-1.097061368862866926e-01,-1.097061368862856101e-01,5.785199658348314511e-01
9.100000000000000311e-01,-1.099047811196663532e-01,-1.099047811196652152e-01,5.784342988151146558e-01
9.110000000000000320e-01,-1.101148907137710631e-01,-1.101148907137699251e-01,5.783437963728401687e-01
9.120000000000000329e-01,-1.103364457647528635e-01,-1.103364457647517394e-01,5.782484351746552953e-01
9.130000000000000338e-01,-1.105694256138982784e-01,-1.105694256138971682e-01,5.781481905201584226e-01
9.140000000000000346e-01,-1.108138088454546644e-01,-1.108138088454535680e-01,5.780430363520283610e-01
9.150000000000000355e-01,-1.110695732843084149e-01,-1.110695732843073186e-01,5.779329452665630251e-01
9.160000000000000364e-01,-1.113366959934526113e-01,-1.113366959934514733e-01,5.778178885246467722e-01
9.170000000000000373e-01,-1.116151626486203696e-01,-1.116151626486192733e-01,5.776978316726583129e-01
9.180000000000000382e-01,-1.119049611303657987e-01,-1.119049611303647440e-01,5.775727374327019881e-01
